02-23-2026 20:27:15 RAM 2844/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 52%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@48.125C soc0@47.906C gpu@50.656C tj@50.656C soc1@47.187C VDD_IN 15468mW/13788mW VDD_CPU_GPU_CV 7911mW/6692mW VDD_SOC 2672mW/2504mW
02-23-2026 20:27:15 RAM 2844/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 53%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@48.125C soc0@47.843C gpu@50.781C tj@50.781C soc1@47.125C VDD_IN 15468mW/13832mW VDD_CPU_GPU_CV 7911mW/6724mW VDD_SOC 2711mW/2509mW
02-23-2026 20:27:15 RAM 2844/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@1497,0%@1497,8%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 53%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@48.187C soc0@48.093C gpu@51C tj@51C soc1@47.312C VDD_IN 15468mW/13874mW VDD_CPU_GPU_CV 7911mW/6754mW VDD_SOC 2711mW/2514mW
02-23-2026 20:27:15 RAM 2844/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 53%@2133 GR3D_FREQ 97%@[1006] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.093C soc2@48.218C soc0@48.062C gpu@50.75C tj@50.75C soc1@47.156C VDD_IN 15468mW/13914mW VDD_CPU_GPU_CV 7911mW/6783mW VDD_SOC 2711mW/2519mW
02-23-2026 20:27:15 RAM 2844/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [9%@1497,15%@1497,8%@1497,0%@1497,30%@1497,63%@1497] EMC_FREQ 53%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@48.187C soc0@48.031C gpu@50.75C tj@50.75C soc1@47.187C VDD_IN 15507mW/13953mW VDD_CPU_GPU_CV 7911mW/6811mW VDD_SOC 2711mW/2524mW
02-23-2026 20:27:15 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 53%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.125C soc2@48.312C soc0@48C gpu@50.906C tj@50.906C soc1@47.187C VDD_IN 15507mW/13990mW VDD_CPU_GPU_CV 7911mW/6837mW VDD_SOC 2711mW/2528mW
02-23-2026 20:27:15 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 53%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.062C soc2@48.375C soc0@48.312C gpu@50.718C tj@50.718C soc1@47.25C VDD_IN 15507mW/14025mW VDD_CPU_GPU_CV 7911mW/6862mW VDD_SOC 2711mW/2532mW
02-23-2026 20:27:16 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 54%@2133 GR3D_FREQ 97%@[1006] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@48.25C soc0@48.187C gpu@50.875C tj@50.875C soc1@47.406C VDD_IN 15468mW/14058mW VDD_CPU_GPU_CV 7872mW/6885mW VDD_SOC 2711mW/2537mW
02-23-2026 20:27:16 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 54%@2133 GR3D_FREQ 97%@[1007] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.093C soc2@48.343C soc0@48.156C gpu@51C tj@51C soc1@47.281C VDD_IN 15468mW/14089mW VDD_CPU_GPU_CV 7872mW/6907mW VDD_SOC 2711mW/2540mW
02-23-2026 20:27:16 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,100%@1497] EMC_FREQ 54%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48C soc2@48.375C soc0@48.25C gpu@51.25C tj@51.25C soc1@47.281C VDD_IN 15468mW/14119mW VDD_CPU_GPU_CV 7872mW/6928mW VDD_SOC 2711mW/2544mW
