ts_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
5176373074716,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44750,44812,44125,44156,44843,4824,557,1433,0.36375,19.2763,7.01
5176473096616,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43750,45031,44812,44093,44156,45031,4864,597,1433,0.395,19.2662,7.68
5176573082610,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44781,44718,44125,44093,44781,4984,636,1433,0.36125,19.2763,7.04
5176673077437,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44718,44750,44093,44156,44718,4944,636,1435,0.3625,19.2712,6.99
5176773061671,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43843,45062,44718,44062,44156,45062,4904,597,1433,0.3525,19.2763,6.8
5176873076050,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43875,44656,44656,44125,44187,44781,4904,597,1433,0.385,19.2712,7.4
5176973071516,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43718,44718,44937,44250,44218,44718,4864,597,1433,0.3625,19.2662,6.99
5177073304461,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43718,44906,44750,44187,44156,44906,4864,597,1433,0.35125,19.275,6.77
5177173081970,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44812,44750,44187,44125,44812,4824,557,1433,0.36125,19.2775,6.94
5177273082556,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44781,44750,44218,44156,44812,4824,557,1433,0.3625,19.2725,6.99
5177373082951,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44843,44656,44093,44125,44843,4824,557,1433,0.36,19.275,6.94
5177473086257,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44812,44906,44125,44156,44812,4824,597,1433,0.3625,19.2763,7.04
5177573066235,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43875,44718,44718,44062,44093,44937,4824,557,1433,0.365,19.2763,6.89
5177673059557,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44906,44718,44093,44187,44906,4824,557,1433,0.34375,19.2812,6.63
5177773072719,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44750,44718,44062,44125,44781,4824,557,1433,0.36,19.27,6.94
5177873073849,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43750,45062,44750,44218,44156,45062,4824,557,1433,0.355,19.28,6.53
5177973075747,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44906,44812,44187,44156,44906,4824,557,1433,0.34875,19.285,6.72
5178073295122,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44875,44781,44125,44125,44875,4824,557,1433,0.34,19.2838,6.55
5178173075991,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44937,44750,44125,44156,44937,4784,557,1433,0.38875,19.2737,7.16
