ts_ns,dt_ns,cpu_khz,cpu_min_khz,cpu_max_khz,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC
15694739437614,99990733,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72031,68843,67656,69187,72000
15694839448381,100010767,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72250,68843,67656,69250,72250
15694939453195,100004814,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72125,68781,67500,69125,72125
15695039450713,99997518,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72031,68687,67375,69281,71906
15695139437446,99986733,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72187,68812,67531,69250,72187
15695239443252,100005806,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,72093,68750,67531,69156,72093
15695339438978,99995726,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69437,71906,68875,67468,69187,71906
15695439443280,100004302,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,71937,68875,67468,69125,71937
15695539437502,99994222,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72218,68812,67656,69156,71968
15695639446604,100009102,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72062,68843,67656,69156,72062
15695739447546,100000942,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,71937,68687,67562,69250,71937
15695839447432,99999886,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72218,68843,67625,69093,72031
15695939446998,99999566,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72000,68750,67468,69156,72000
15696039442819,99995821,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,71968,68750,67531,69125,71968
15696139443441,100000622,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69468,71968,68781,67468,69281,71968
15696239445919,100002478,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72000,68781,67437,69125,72000
15696339438317,99992398,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,71906,68843,67500,69125,72062
15696439450907,100012590,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69187,72062,68812,67656,69125,72062
15696539442089,99991182,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72000,68718,67593,69125,72000
15696639441047,99998958,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69062,72000,68718,67625,69218,72125
15696739440709,99999662,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72093,68750,67437,69187,72093
15696839447923,100007214,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72062,68718,67531,69281,72062
15696939455809,100007886,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69125,72156,68843,67468,69156,72156
15697039452110,99996301,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72062,68812,67531,69187,72062
15697139436924,99984814,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69437,72031,68843,67531,69187,72031
15697239435850,99998926,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72187,68781,67625,69156,72187
15697339434040,99998190,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,72062,68781,67625,69125,72062
15697439440486,100006446,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72062,68718,67593,69093,72000
15697539442484,100001998,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72250,68812,67593,69156,72250
15697639442338,99999854,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69437,72156,68750,67500,69187,72156
15697739466960,100024622,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72062,68781,67500,69156,71968
15697839450590,99983630,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,71968,68906,67562,69187,71968
15697939452267,100001677,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72218,68750,67500,69218,72218
15698039443673,99991406,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72000,68812,67656,69156,72000
15698139444167,100000494,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,72000,68812,67656,69250,72000
15698239454293,100010126,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72281,68843,67593,69218,72031
15698339435235,99980942,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69187,71937,68750,67625,69125,71937
15698439444177,100008942,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,71875,68750,67562,69187,71875
15698539435262,99991085,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,71843,68812,67500,69187,72000
15698639448876,100013614,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,71968,68750,67500,69156,71968
15698739442234,99993358,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,71937,68906,67562,69187,71937
15698839439688,99997454,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,71968,68843,67562,69125,71968
15698939433782,99994094,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,71937,68843,67656,69250,71937
15699039451908,100018126,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,71906,68812,67593,69156,72093
15699139445362,99993454,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72062,68812,67625,69250,72062
15699239453888,100008526,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72031,68687,67593,69187,72031
15699339464398,100010510,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69062,72031,68750,67531,69187,72156
15699439449819,99985421,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72062,68687,67500,69187,72062
15699539441193,99991374,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69375,72000,68812,67531,69218,72000
15699639449943,100008750,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,72250,68875,67562,69312,72250
15699739439749,99989806,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72093,68750,67500,69125,72093
15699839442515,100002766,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72031,68781,67656,69062,71812
15699939436321,99993806,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69437,72031,68812,67593,69156,72031
15700039445519,100009198,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,72187,68750,67531,69156,72187
15700139445276,99999757,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,72093,68750,67625,69250,71937
15700239446218,100000942,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,71968,68750,67500,69187,71968
15700339454648,100008430,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72281,68906,67500,69187,72281
15700439440166,99985518,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72031,68875,67593,69156,72031
15700539452180,100012014,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,71906,68750,67593,69125,71906
15700639444642,99992462,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,71906,68906,67625,69062,71906
15700739435439,99990797,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,71968,68812,67656,69156,71968
15700839442429,100006990,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,71937,68812,67562,69218,71937
15700939452587,100010158,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72000,68750,67656,69218,72000
15701039452153,99999566,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69500,72031,68781,67531,69281,72031
15701139473448,100021295,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,71937,68875,67531,69250,71937
15701239445589,99972141,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72062,68906,67593,69187,72062
15701339568198,100122609,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69468,72062,68812,67593,69250,72062
15701439444465,99876267,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,72031,68812,67718,69250,72031
15701539441054,99996589,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72062,68781,67718,69218,72062
15701639437612,99996558,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,72093,68843,67656,69187,72093
15701739450330,100012718,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72000,68750,67656,69281,72218
15701839441960,99991630,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69468,72093,68718,67625,69343,72093
15701939454838,100012878,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72093,68687,67531,69218,72093
15702039438275,99983437,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,71937,68750,67468,69250,72281
15702139441105,100002830,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69437,72218,68812,67500,69156,72218
15702239451839,100010734,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72156,68906,67656,69218,72156
15702339452109,100000270,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,71968,68812,67687,69218,71968
15702439453275,100001166,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72187,68781,67593,69218,72187
15702539450249,99996974,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72156,68843,67656,69156,71968
15702639435478,99985229,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,71875,68843,67562,69093,71875
15702739456773,100021295,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72312,68750,67531,69281,72312
15702839445010,99988237,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72156,68750,67531,69218,71968
15702939442688,99997678,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69531,72000,68906,67531,69187,72000
15703039442574,99999886,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,72000,68968,67468,69187,72000
15703139446780,100004206,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,72031,68875,67656,69218,72031
15703239439754,99992974,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69187,72062,68906,67656,69218,72062
15703339441751,100001997,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72031,68843,67625,69156,72031
15703439438245,99996494,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69187,71968,68687,67593,69250,71968
15703539446387,100008142,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69281,72062,68718,67562,69218,72062
15703639441473,99995086,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,71968,68781,67593,69250,72093
15703739444239,100002766,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69593,72093,68843,67562,69312,72093
15703839441181,99996942,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69343,71937,68906,67531,69218,71937
15703939440938,99999757,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69406,72093,68843,67656,69312,72093
15704039446040,100005102,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69218,72062,68812,67656,69218,72062
15704139441254,99995214,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72031,68843,67593,69156,72218
15704239437268,99996014,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72156,68812,67625,69062,72156
15704339432354,99995086,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69156,72062,68781,67500,69250,72062
15704439445968,100013614,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69250,72062,68750,67593,69218,71875
15704539452990,100007022,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69125,72125,68906,67593,69281,72125
15704639449227,99996237,1728000,115200,1728000,1020000000,306000000,1020000000,nvhost_podgov,69312,72093,68968,67500,69156,72093
