ts_ns,dt_ns,inst_rate_hz,avg_rate_hz,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
3950449918611,1838372,543.960,502.868,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48406,48250,47718,47750,48406,5334,955,1472,0.376,19.276,7.450
3950451717783,1799172,555.811,503.695,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48406,48312,47750,47687,48406,5334,955,1472,0.376,19.284,7.260
3950453241877,1524094,656.128,505.686,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48406,48343,47781,47687,48562,5334,955,1472,0.375,19.280,7.230
3950455746342,2504465,399.287,503.450,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48562,48312,47812,47718,48562,5334,955,1472,0.361,19.282,6.960
3950457251779,1505437,664.259,505.456,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48562,48312,47843,47656,48562,5334,955,1472,0.396,19.282,7.640
3950458976549,1724770,579.787,506.504,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48406,48187,47843,47687,48406,5334,955,1472,0.352,19.277,7.640
3950460707175,1730626,577.826,507.498,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48406,48250,47843,47718,48406,5334,955,1472,0.352,19.273,6.800
3950462078594,1371419,729.172,509.920,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48593,48218,47750,47593,48593,5334,955,1472,0.417,19.266,8.040
3950464716726,2638132,379.056,507.226,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48593,48281,47781,47718,48593,5334,955,1472,0.412,19.266,7.950
3950466662108,1945382,514.038,507.328,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48468,48281,47781,47750,48468,5334,955,1472,0.434,19.274,8.360
3950468776870,2114762,472.866,506.777,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48468,48343,47781,47687,48468,5334,955,1472,0.365,19.285,7.040
3950470584617,1807747,553.175,507.403,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48625,48375,47812,47562,48625,5334,955,1472,0.360,19.284,6.940
3950472297579,1712962,583.784,508.367,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48625,48250,47937,47656,48406,5334,955,1472,0.379,19.285,7.310
3950475075714,2778135,359.954,505.390,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48406,48250,47937,47656,48406,5334,955,1472,0.385,19.285,7.310
3950476451581,1375867,726.814,507.568,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48406,48281,47812,47656,48562,5334,955,1472,0.367,19.288,7.090
3950479243219,2791638,358.213,504.645,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48562,48250,47750,47687,48562,5334,955,1472,0.391,19.281,7.540
3950481406302,2163083,462.303,504.013,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48406,48250,47781,47625,48406,5334,955,1472,0.364,19.288,7.010
3950484472858,3066556,326.099,500.324,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48406,48375,47812,47687,48406,5334,955,1472,0.371,19.277,7.160
3950486412416,1939558,515.581,500.522,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48562,48375,47812,47562,48562,5334,955,1472,0.365,19.281,7.040
3950488513578,2101162,475.927,500.182,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48562,48250,47875,47593,48718,5334,955,1472,0.404,19.279,7.780
3950490615539,2101961,475.746,499.848,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48718,48250,47718,47656,48718,5334,955,1472,0.349,19.286,6.720
3950492836030,2220491,450.351,499.145,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48718,48218,47781,47687,48500,5334,915,1472,0.366,19.279,7.280
3950496310595,3474565,287.806,494.548,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48500,48218,47812,47687,48500,5334,915,1472,0.366,19.281,7.070
3950498173031,1862436,536.931,495.036,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48781,48312,47781,47750,48781,5334,915,1472,0.381,19.277,7.070
3950500640696,2467665,405.241,493.686,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48781,48406,47843,47593,48437,5334,915,1472,0.356,19.280,7.350
3950502416827,1776131,563.022,494.428,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48437,48187,47843,47718,48437,5334,915,1472,0.356,19.281,6.870
3950503970681,1553854,643.561,495.813,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48437,48312,47937,47687,48687,5334,915,1472,0.405,19.276,7.810
3950506520235,2549554,392.225,494.259,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48687,48281,47718,47593,48687,5334,915,1472,0.357,19.280,6.890
3950508528851,2008616,497.855,494.301,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48687,48250,47750,47656,48468,5334,915,1472,0.441,19.279,8.510
3950512668292,4139441,241.579,488.360,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48656,48375,47781,47687,48656,5334,915,1472,0.411,19.270,7.920
3950515435418,2767126,361.386,486.396,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48656,48250,47781,47718,48656,5334,915,1472,0.410,19.281,7.910
3950517392961,1957543,510.844,486.661,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48468,48250,47875,47625,48468,5334,915,1472,0.393,19.276,7.560
3950518924063,1531102,653.124,488.058,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48468,48187,47718,47718,48468,5334,915,1472,0.383,19.288,7.370
3950520981927,2057864,485.941,488.035,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48656,48250,47718,47687,48656,5334,955,1472,0.374,19.288,7.370
3950522599079,1617152,618.371,489.168,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48656,48250,47781,47656,48656,5334,955,1472,0.354,19.285,6.820
3950525432095,2833016,352.981,487.125,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48375,48281,47750,47812,48375,5334,955,1472,0.357,19.282,6.900
3950529880918,4448823,224.779,481.087,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48562,48468,47781,47562,48562,5334,955,1472,0.388,19.282,6.900
