ts_ns,dt_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC
19688841901142,100001614,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48687,48468,48125,47968,48687
19688941888996,99987854,576000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48750,48500,48000,47968,48750
19689041904114,100015118,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48718,48531,48000,48000,48718
19689141903104,99998990,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48656,48625,48093,47968,48718
19689241899566,99996462,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47875,48718,48562,47968,47968,48718
19689341889052,99989486,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48656,48625,48187,48000,48656
19689441888554,99999502,192000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48781,48593,48218,47937,48781
19689541898937,100010383,192000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48781,48500,48218,47875,48781
19689641886182,99987245,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48750,48468,48125,47875,48750
19689741902453,100016271,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48906,48468,48000,47843,48906
19689841896419,99993966,652800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48781,48500,47968,47968,48781
19689941898545,100002126,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47968,48781,48375,48000,47968,49000
19690041886047,99987502,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47937,48843,48562,48093,48031,48843
19690141894445,100008398,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,48000,48812,48593,48031,47875,48812
19690241921371,100026926,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48687,48531,48250,47906,49031
19690341914089,99992718,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48937,48437,48187,47906,48937
19690441900055,99985966,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47593,48812,48531,48156,47968,48656
19690541909669,100009614,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48656,48437,48093,47875,48656
19690641902803,99993134,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47875,49062,48500,48093,48000,49062
19690741903233,100000430,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48906,48468,48093,48000,48656
19690841901935,99998702,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48718,48468,48031,47968,48718
19690941903709,100001774,806400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48718,48500,48062,47906,48718
19691041883691,99979982,499200,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48812,48500,48031,48000,48750
19691141912250,100028559,499200,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48687,48406,48156,47843,48687
19691241899336,99987086,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48687,48500,48218,47875,48750
19691341901910,100002574,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48687,48468,48218,47937,48687
19691441899748,99997838,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48687,48468,48062,47906,48687
19691541899026,99999278,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47906,48656,48468,48031,48000,48843
19691641885343,99986317,192000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48718,48562,48125,48000,48718
19691741896238,100010895,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48687,48531,48093,47937,48687
19691841902076,100005838,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48718,48500,48031,47906,48781
19691941898410,99996334,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48750,48500,48062,47937,48750
19692041901688,100003278,499200,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48718,48531,48156,47906,48718
19692141908006,100006318,499200,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48843,48531,48125,47937,48843
19692241907700,99999694,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47937,48781,48468,48093,47906,48781
19692341905506,99997806,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47968,48718,48468,48093,48000,49093
19692441896400,99990894,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48875,48437,48125,47906,48875
19692541885182,99988782,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48875,48625,48031,47937,48875
19692641902252,100017070,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48750,48531,48062,47906,48562
19692741898202,99995950,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48906,48531,48218,47906,48906
19692841898664,100000462,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48875,48468,48156,47875,48875
19692941881974,99983310,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48750,48500,48187,47875,48656
19693041885124,100003150,499200,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,49093,48468,48125,47875,49093
19693141905363,100020239,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48875,48468,48093,47875,48750
19693241905953,100000590,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48750,48500,48000,48000,48750
19693341895471,99989518,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48656,48656,48093,47968,48656
19693441898557,100003086,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48937,48593,48031,47906,48687
19693541901643,100003086,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48687,48562,48250,47968,48687
19693641895225,99993582,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48656,48531,48187,47937,48656
19693741897543,100002318,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48750,48531,48156,47875,48750
19693841885365,99987822,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48750,48406,48125,47843,48750
19693941907939,100022574,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48656,48437,48031,48000,48656
19694041911441,100003502,729600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48718,48468,48125,47937,48718
19694141909375,99997934,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47843,48625,48437,47968,48031,48625
19694241898093,99988718,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48656,48562,48062,47906,48843
