ts_ns,cpu_khz,cpu_min_khz,cpu_max_khz,gpu_hz,gpu_min_hz,gpu_max_hz,temp_cpu_mC,temp_gpu_mC,gpu_governor
4305714537113,1344000,1344000,1344000,918000000,918000000,918000000,47562,48875,nvhost_podgov
4305815518626,1344000,1344000,1344000,918000000,918000000,918000000,47343,48718,nvhost_podgov
4305916971738,1344000,1344000,1344000,918000000,918000000,918000000,47343,49000,nvhost_podgov
4306017701051,1344000,1344000,1344000,918000000,918000000,918000000,47375,48687,nvhost_podgov
4306118722150,1344000,1344000,1344000,918000000,918000000,918000000,47468,48625,nvhost_podgov
4306219749616,1344000,1344000,1344000,918000000,918000000,918000000,47250,48781,nvhost_podgov
4306320462673,1344000,1344000,1344000,918000000,918000000,918000000,47312,48812,nvhost_podgov
4306421524925,1344000,1344000,1344000,918000000,918000000,918000000,47281,48781,nvhost_podgov
4306522405634,1344000,1344000,1344000,918000000,918000000,918000000,47187,49000,nvhost_podgov
4306623128387,1344000,1344000,1344000,918000000,918000000,918000000,47250,48875,nvhost_podgov
4306724028584,1344000,1344000,1344000,918000000,918000000,918000000,47281,48625,nvhost_podgov
4306824921452,1344000,1344000,1344000,918000000,918000000,918000000,47343,48781,nvhost_podgov
4306925840433,1344000,1344000,1344000,918000000,918000000,918000000,47281,48781,nvhost_podgov
4307026564784,1344000,1344000,1344000,918000000,918000000,918000000,47156,48812,nvhost_podgov
4307127828448,1344000,1344000,1344000,918000000,918000000,918000000,47250,48656,nvhost_podgov
4307228531966,1344000,1344000,1344000,918000000,918000000,918000000,47281,49062,nvhost_podgov
4307329345055,1344000,1344000,1344000,918000000,918000000,918000000,47375,48687,nvhost_podgov
4307430553006,1344000,1344000,1344000,918000000,918000000,918000000,47187,48656,nvhost_podgov
4307531303277,1344000,1344000,1344000,918000000,918000000,918000000,47406,48812,nvhost_podgov
4307632028076,1344000,1344000,1344000,918000000,918000000,918000000,47343,48718,nvhost_podgov
4307732979312,1344000,1344000,1344000,918000000,918000000,918000000,47468,48812,nvhost_podgov
4307833652555,1344000,1344000,1344000,918000000,918000000,918000000,47375,48781,nvhost_podgov
4307934318661,1344000,1344000,1344000,918000000,918000000,918000000,47375,48937,nvhost_podgov
4308034971583,1344000,1344000,1344000,918000000,918000000,918000000,47406,48750,nvhost_podgov
4308135695547,1344000,1344000,1344000,918000000,918000000,918000000,47312,48625,nvhost_podgov
4308236414839,1344000,1344000,1344000,918000000,918000000,918000000,47343,48625,nvhost_podgov
4308337100051,1344000,1344000,1344000,918000000,918000000,918000000,47312,48625,nvhost_podgov
4308437813295,1344000,1344000,1344000,918000000,918000000,918000000,47250,48812,nvhost_podgov
4308538486505,1344000,1344000,1344000,918000000,918000000,918000000,47281,48718,nvhost_podgov
4308639373867,1344000,1344000,1344000,918000000,918000000,918000000,47187,48937,nvhost_podgov
4308740060964,1344000,1344000,1344000,918000000,918000000,918000000,47312,48656,nvhost_podgov
4308840881602,1344000,1344000,1344000,918000000,918000000,918000000,47375,48656,nvhost_podgov
4308941811522,1344000,1344000,1344000,918000000,918000000,918000000,47468,48593,nvhost_podgov
4309042515548,1344000,1344000,1344000,918000000,918000000,918000000,47187,48687,nvhost_podgov
4309143789128,1344000,1344000,1344000,918000000,918000000,918000000,47406,48875,nvhost_podgov
4309244963089,1344000,1344000,1344000,918000000,918000000,918000000,47406,48968,nvhost_podgov
4309345923027,1344000,1344000,1344000,918000000,918000000,918000000,47343,48875,nvhost_podgov
4309446645325,1344000,1344000,1344000,918000000,918000000,918000000,47281,48718,nvhost_podgov
4309547297925,1344000,1344000,1344000,918000000,918000000,918000000,47375,48656,nvhost_podgov
4309648037343,1344000,1344000,1344000,918000000,918000000,918000000,47343,48718,nvhost_podgov
4309748754167,1344000,1344000,1344000,918000000,918000000,918000000,47375,48625,nvhost_podgov
4309849496048,1344000,1344000,1344000,918000000,918000000,918000000,47343,48781,nvhost_podgov
4309950234568,1344000,1344000,1344000,918000000,918000000,918000000,47218,48968,nvhost_podgov
4310050975681,1344000,1344000,1344000,918000000,918000000,918000000,47187,48812,nvhost_podgov
4310151716953,1344000,1344000,1344000,918000000,918000000,918000000,47312,48656,nvhost_podgov
4310252773692,1344000,1344000,1344000,918000000,918000000,918000000,47250,49031,nvhost_podgov
4310353466227,1344000,1344000,1344000,918000000,918000000,918000000,47156,48687,nvhost_podgov
4310454181866,1344000,1344000,1344000,918000000,918000000,918000000,47312,48625,nvhost_podgov
4310554863297,1344000,1344000,1344000,918000000,918000000,918000000,47156,48687,nvhost_podgov
4310656064009,1344000,1344000,1344000,918000000,918000000,918000000,47250,48937,nvhost_podgov
4310756771166,1344000,1344000,1344000,918000000,918000000,918000000,47562,48875,nvhost_podgov
4310857448210,1344000,1344000,1344000,918000000,918000000,918000000,47375,48625,nvhost_podgov
4310958224425,1344000,1344000,1344000,918000000,918000000,918000000,47375,48906,nvhost_podgov
4311059454128,1344000,1344000,1344000,918000000,918000000,918000000,47437,48718,nvhost_podgov
4311160577235,1344000,1344000,1344000,918000000,918000000,918000000,47406,48687,nvhost_podgov
4311261235494,1344000,1344000,1344000,918000000,918000000,918000000,47281,48781,nvhost_podgov
4311361909018,1344000,1344000,1344000,918000000,918000000,918000000,47250,48906,nvhost_podgov
4311462619856,1344000,1344000,1344000,918000000,918000000,918000000,47281,48781,nvhost_podgov
4311563383399,1344000,1344000,1344000,918000000,918000000,918000000,47312,48593,nvhost_podgov
4311664229920,1344000,1344000,1344000,918000000,918000000,918000000,47218,48968,nvhost_podgov
4311765054103,1344000,1344000,1344000,918000000,918000000,918000000,47312,48687,nvhost_podgov
4311865763434,1344000,1344000,1344000,918000000,918000000,918000000,47218,48781,nvhost_podgov
4311966966701,1344000,1344000,1344000,918000000,918000000,918000000,47250,48781,nvhost_podgov
4312067709090,1344000,1344000,1344000,918000000,918000000,918000000,47343,48812,nvhost_podgov
4312168608571,1344000,1344000,1344000,918000000,918000000,918000000,47218,48781,nvhost_podgov
4312269505044,1344000,1344000,1344000,918000000,918000000,918000000,47343,48906,nvhost_podgov
4312370340075,1344000,1344000,1344000,918000000,918000000,918000000,47468,48625,nvhost_podgov
4312471489165,1344000,1344000,1344000,918000000,918000000,918000000,47406,48593,nvhost_podgov
4312572452968,1344000,1344000,1344000,918000000,918000000,918000000,47312,48718,nvhost_podgov
4312673123610,1344000,1344000,1344000,918000000,918000000,918000000,47375,48781,nvhost_podgov
4312773776873,1344000,1344000,1344000,918000000,918000000,918000000,47531,48781,nvhost_podgov
4312874551484,1344000,1344000,1344000,918000000,918000000,918000000,47281,48562,nvhost_podgov
4312975488052,1344000,1344000,1344000,918000000,918000000,918000000,47375,48937,nvhost_podgov
4313076185189,1344000,1344000,1344000,918000000,918000000,918000000,47281,48718,nvhost_podgov
4313177192607,1344000,1344000,1344000,918000000,918000000,918000000,47281,48687,nvhost_podgov
4313277907760,1344000,1344000,1344000,918000000,918000000,918000000,47312,48656,nvhost_podgov
4313378566304,1344000,1344000,1344000,918000000,918000000,918000000,47187,48781,nvhost_podgov
4313479744288,1344000,1344000,1344000,918000000,918000000,918000000,47343,48843,nvhost_podgov
4313580421968,1344000,1344000,1344000,918000000,918000000,918000000,47312,48593,nvhost_podgov
4313681198338,1344000,1344000,1344000,918000000,918000000,918000000,47187,48906,nvhost_podgov
4313781854863,1344000,1344000,1344000,918000000,918000000,918000000,47281,48625,nvhost_podgov
4313883018413,1344000,1344000,1344000,918000000,918000000,918000000,47406,48625,nvhost_podgov
4313984014181,1344000,1344000,1344000,918000000,918000000,918000000,47500,48625,nvhost_podgov
